Source:,C:\Users\marco\Documents\KiCad\Projets\Alexiares_LPF\LPF.sch,,,,,,
Date:,22/07/2020 10:55,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Component Count:,134,,,,,,
Ref,Value,Footprint,Manufacturer,Type,Vendor,Reference,
C1,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C2,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C3,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C4,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C5,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C6,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C7,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C8,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C9,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C10,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C11,120p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D121KXGAT,
C12,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C13,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C14,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C15,10n,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Wurth Elektronik,MLCC,Mouser,710-885012207092,
C16,39p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D390JXLAJ,
C17,4.7p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D4R7BXLQJ,
C18,39p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D390JXLAJ,
C19,1000p,Johanson,johanson 1812,MLCC 500V,Mouser,501S43N102JV4E,
C20,470p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D471KXLAJ,
C21,330p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D331JXLAJ,
C22,82p,Vishay HiFreq 1111 MLCC,Vishay Vitramon,MLCC 500V,Mouser,VJ1111D820GXGQJ,
